neighbourhood,price,minimum_nights,maximum_nights,number_of_reviews
Affoltern,110.18,7.0,778.0,13.0
Albisrieden,209.27,11.0,742.0,26.0
Alt-Wiedikon,120.89,4.0,794.0,41.0
Altstetten,243.06,14.0,840.0,14.0
City,338.87,4.0,711.0,17.0
Enge,265.85,6.0,742.0,17.0
Escher Wyss,160.54,3.0,740.0,14.0
Fluntern,218.61,9.0,882.0,15.0
Friesenberg,347.7,7.0,777.0,17.0
Gewerbeschule,101.03,5.0,868.0,32.0
Hard,106.54,8.0,682.0,30.0
Hirslanden,123.67,12.0,593.0,18.0
Hirzenbach,83.48,5.0,494.0,17.0
Hochschulen,300.1,4.0,710.0,23.0
Hottingen,124.16,4.0,866.0,26.0
Höngg,129.21,8.0,821.0,23.0
Langstrasse,162.79,10.0,746.0,20.0
Leimbach,66.0,2.0,564.0,6.0
Lindenhof,345.09,6.0,814.0,26.0
Mühlebach,139.75,7.0,849.0,46.0
Oberstrass,119.62,18.0,758.0,31.0
Oerlikon,168.64,11.0,916.0,16.0
Rathaus,216.75,5.0,934.0,66.0
Saatlen,111.57,77.0,579.0,6.0
Schwamendingen-Mitte,70.61,5.0,640.0,6.0
Seebach,119.47,4.0,759.0,13.0
Seefeld,184.71,4.0,894.0,21.0
Sihlfeld,130.68,8.0,804.0,20.0
Unterstrass,165.58,10.0,633.0,14.0
Weinegg,155.74,3.0,816.0,26.0
Werd,141.14,4.0,634.0,33.0
Wipkingen,99.99,8.0,782.0,33.0
Witikon,125.55,6.0,924.0,21.0
Wollishofen,156.36,5.0,729.0,22.0
