neighbourhood,price,minimum_nights,maximum_nights,number_of_reviews
Anières,190.5,2.0,859.0,10.0
Avully,69.67,3.0,757.0,10.0
Bardonnex,55.69,6.0,1125.0,18.0
Bellevue,113.93,8.0,927.0,4.0
Bernex,78.9,2.0,630.0,3.0
Carouge,103.94,7.0,614.0,12.0
Cartigny,84.5,2.0,56.0,2.0
Chancy,64.0,1.0,1125.0,3.0
Choulex,82.0,2.0,14.0,3.0
Chêne-Bougeries,152.54,6.0,836.0,12.0
Chêne-Bourg,134.01,5.0,725.0,21.0
Collex-Bossy,266.05,4.0,572.0,2.0
Collonge-Bellerive,343.1,8.0,973.0,16.0
Cologny,237.14,9.0,664.0,14.0
Commune de Genève,127.86,6.0,770.0,26.0
Confignon,146.24,2.0,700.0,35.0
Corsier,93.22,11.0,939.0,2.0
Dardagny,72.5,10.0,588.0,0.0
Genthod,199.12,5.0,721.0,6.0
Grand-Saconnex,131.85,4.0,751.0,25.0
Gy,55.0,5.0,10.0,0.0
Hermance,214.0,3.0,295.0,4.0
Jussy,55.0,1.0,1125.0,12.0
Lancy,101.41,3.0,752.0,16.0
Meinier,201.25,5.0,575.0,4.0
Meyrin,83.81,3.0,685.0,44.0
Onex,146.73,20.0,870.0,33.0
Perly-Certoux,88.0,5.0,240.0,5.0
Plan-les-Ouates,118.57,4.0,662.0,16.0
Pregny-Chambésy,146.63,11.0,639.0,12.0
Presinge,1080.0,41.0,410.0,11.0
Puplinge,93.95,2.0,730.0,1.0
Russin,100.0,3.0,1125.0,3.0
Satigny,163.75,2.0,1125.0,14.0
Soral,125.25,4.0,1125.0,14.0
Thônex,86.72,7.0,926.0,9.0
Troinex,78.12,2.0,1125.0,16.0
Vandoeuvres,320.5,6.0,608.0,3.0
Vernier,84.0,9.0,798.0,23.0
Versoix,106.08,3.0,715.0,14.0
Veyrier,102.49,4.0,802.0,4.0
